"名前","コメント","参加ステータス","LTを希望されますか","パレットは3/14で閉鎖されます。次の会場はどこが良いですか?","↑で良い場所を知っているを選択された方、教えてください","2012年の映画ベスト3をよかったら教えてください","最近はやっているweb/blog/メルマガを教えてください","このアンケートの結果は原則公開しますがよろしいですか。","登録日時"
"suchi","ATNDer(仕事の都合で直前にキャンセルの可能性があります)","参加","希望しない","鴨江別館 / コワーキングスペース・アズ / 浜松市協働センター / Hi-Cube","","1)ミツコ感覚2)サウダージ3)ポテチ/鍵泥棒のメソッド","","公開してよい","2013/02/24 10:55"
"mackato","準備する時間が取れたら、LTでるびもの紹介をします","参加","希望する","他に良い場所を知っている","鍵の受渡しが出来ればスマホ道場も使えそうです。","1. ダークナイト ライジング2. ドライブ3. ヘッドハンター","http://www.geckoboard.com/","公開してよい","2013/02/24 13:20"
"Langur","2周年おめでとうございますm(_ _)m","参加","希望する","他に良い場所を知っている / 鴨江別館 / コワーキングスペース・アズ / 浜松市協働センター / Hi-Cube","クリエート浜松","","https://groups.google.com/d/forum/japanese-raspberry-pi-users-group","公開してよい","2013/02/24 17:07"
"risgk","参加します。よろしくお願いします。","参加","希望しない","特に希望はない","","映画見ていません...","http://makezine.jp/","公開してよい","2013/02/24 19:51"
"DoneMitsu","今度こそは…宜しくお願いします。","参加","希望しない","鴨江別館","","『私の奴隷になりなさい。』","http://ameblo.jp/sizuka-ryu/","公開してよい","2013/02/25 16:44"
"yuto","こういうアイスブレーク的アンケートいいですね！！","参加","希望しない","他に良い場所を知っている / 鴨江別館 / 浜松市協働センター","勉強会を企画する際に、浜松駅周辺の貸し会議室のある場所をまとめたマップを以前作ったことがあります。市の施設しか載せてないですが。https://maps.google.com/maps/ms?msid=210752875341098779598.0004c7e272e4037cc0dc4&msa=0&ll=34.709057,137.730532&spn=0.021379,0.044675","・「桐島、部活やめるってよ」（実際観たのはつい昨日ですが）・「エヴァンゲリオンQ」・「裏切りのサーカス」","http://nori510.com/","公開してよい","2013/02/25 23:02"
"yowasou","よろしくお願いします。","参加","希望しない","Hi-Cube","","","http://haru.fm/","公開してよい","2013/03/01 21:41"
"arfyasu","参加しまーす！","参加","希望しない","コワーキングスペース・アズ","","見に行ってないですけど、エヴァQは見たかったです。","http://playcast.jp/plans","公開してよい","2013/03/07 12:55"
"hsshkmn","よろしくお願いします．","参加","希望しない","特に希望はない","","2012年は「ダークナイト ライジング」と「おおかみこどもの雨と雪」だけしか見ていませんのでベスト2までしか選べません．．ちなみにノーランの3部作の中ではダークナイトが一番好きです．あとテルマエ・ロマエまだ見てないので見たいです．","http://","公開してよい","2013/03/11 10:27"
"ktachibana","参加します！","参加","希望しない","特に希望はない","","","http://","公開してよい","2013/03/12 18:12"
"s.chuui","rb初心者ですがまたまたお邪魔させていただきます！","参加","希望しない","","","はやぶさの映画","http://","公開してよい","2013/03/13 09:08"
"oh_no","初参加します。Rubyできません。顔見知りの方よろしくです。","参加","希望しない","Hi-Cube","","映画見ません","http://www.aoky.net/","公開してよい","2013/03/13 14:33"
